index,dayId,date,name,traffic,newsTitle,newsSnippet
60083,20161128,2016-11-28,qiyas,"2,000+",qiyas قياس رابط الموقع للتسجيل في اختبارات المركز الوطني للقياس والتقويم في التعليم العالي,qiyas موقع قياس ونتائج اختبارات الكفايات للمعلمين  أصبحت الاختبارات المهنية الخاصة بشاغلي الوظائف التعليمية قياس إلزامية على كل من يشغل الوظائف التعليمية حيث انه تم التعميم على كل الإدارات التعليمية بذلك أمس الأحد  وجاء هذا التعميم بناءا على خطاب من نائب وزير التعليم لشئون البنين رئيس اللجنة التوجيهية لمشروع الاختبارات المهنية يؤكد فيه على أن أداء الاختبارات المهنية للعام الدراسي الجديد سيكون إلزاميا
60084,20161128,2016-11-28,الانذار المبكر,"2,000+",الانذار المبكر يحذر من أمطار متوقعة على الشرقية,تشهد العديد من المناطق في المملكة حالة مطرية استدعت التحذير من قبل الانذار المبكر ومديرية الدفاع المدني وحذر الانذار المبكر قبل ساعات من حالة مطرية على العديد من محافظات وقرى المنطقة الشرقية مهيبا بالمواطنين توخي الحذر وحذر الانذار المبكر عبر تويتر من أمطار متوقعة على بعض محافظات المنطقة الشرقية متوسطة إلى غزيرة على الدمام والأحساء والظهران والفردانية والعضيلة والقرى المجاورة لها كما شددت مديرية الدفاع المدني على المواطنين والمقيمين توخي الحذر لاسيما على الطرق السريعة حيث تدني مستوى الرؤية
60085,20161128,2016-11-28,امطار الرياض,"2,000+",الوحدة الاخباري  أمطار الرياض وهيئة الأرصاد والدفاع المدني يحذر المواطنين من هطول أمطار غزيرة علي الرياض,أمطار الرياض أعلن الدفاع المدني عن ورود تنبيه مقدم من الأرصاد الجوية يفيد بهطول أمطار الرياض وهي متوسطة إلي غزيرة علي عاصمة الرياض وأوضح الدفاع المدني في تغريدة عبر حسابه في تويتر أن هطول الأمطار سيشمل أرجاء الرياض الدرعية المزاحية ديراب وما جاورها مبينا أن هطول أمطار الرياض سيستمر حتي فجر اليوم الاثنين فيما لم تعلن إدارة التعليم بالرياض أي قرار بشأن الدراسة وذلك في وقت أعلنت فيه إدارات تعليم محافظات تابعة للمنطقة علي تعليق الدراسة اليوم الأثنين
60086,20161128,2016-11-28,ايمان العاصي,"1,000+",بالصور إيمان العاصي أحدث عروس في الوسط الفني والعريس مفاجأة,بعد سنوات من الرفض التام لتجربة الزواج مجددا يبدو أن الفنانة إيمان العاصي نسيت مرارة وقسوة تجربتها الأولى ووافقت على إعلان خطوبتها على عريس جديد من داخل الوسط الفني وهو النجم الشاب طارق صبري الذي بادر إلى نشر صورة مشتركة لهما من حفل زفاف ابنة الفنان أحمد صيام دون تعليق ولكن تهاني زملاء الوسط الفنى كشفت الحقيقة طارق ظهر أكثر من مرة في مناسبات عامة وخاصة مع إيمان العاصي وآخرها زيارتها لدعم مستشفى أطفال ثم حفل زفاف ابنة الفنانة أحمد صيام ولم تكشف عن سبب هذا الظهور الا زميلتها الفنانة علياء
60087,20161128,2016-11-28,برشلونة,"5,000+",بيكيه ينتقد برشلونة بعد التعادل أمام سوسيداد,وجه المدافع جيرار بيكيه انتقادا لاذعا لأداء فريقه برشلونة بعد التعادل 11 مع ريال سوسيداد في دوري الدرجة الأولى الإسباني لكرة القدم الأحد 27 نوفمبرتشرين الثاني وسجل ليونيل ميسي نجم برشلونة هدف التعادل بتسديدة رائعة ليلغي تقدم سوسيداد عبر ويليان خوسيه في الشوط الثاني في ملعب أنويتا لكن بيكيه قال إن فريقه كان محظوظا بالخروج من هذا الملعب الذي لم يفز فيه برشلونة منذ 2007 بنقطة التعادل وأهدر برشلونة نقطتين في الأسبوع الماضي عندما تعادل مع ملقة بدون أهداف وبعد تعادل الأحد أصبح متأخرا عن غريمه
60088,20161128,2016-11-28,بورما,"1,000+",بنجلادش تعيد قوارب تقل لاجئين من أقلية الروهينجا إلى بورما,أعادت بنجلادش الإثنين عدة قوارب تحمل لاجئين من أقلية الروهينجا المسلمة التي لجأ آلاف من أفرادها في الأسابيع الأخيرة إلى هناك هربا من ممارسات الجيش البورمي ضدهم وتحدث الروهينجا الذين عبروا الحدود عن أعمال عنف مارسها الجنود البورميون في غرب البلاد حيث يعيش آلاف من أفراد هذه الأقلية من قتل وتعذيب واغتصاب وقال رئيس حرس الحدود في مدينة تكناف الحدودية الكولونيل أبو ذر الزاهد لوكالة فرانس برس إنه تمت إعادة ثمانية قوارب كانت تحاول عبور نهر ناف الذي يفصل ولاية راخين البورمية عن جنوب بنجلادش الإثنين
60089,20161128,2016-11-28,حيدر العبدالله,"10,000+",إلقاء حيدر العبدالله أمام الملك يثير تباينا بين الانتقادات والرضا والشاعر الصراخ وسيلة العاجز,ألقى الشاعر حيدر العبدالله المتوج في عام 2013 بجائزة شاعر شباب عكاظ قصيدة فصحى أمام خادم الحرمين الشريفين الأسبوع الماضي في حفل استقبال أهالي المنطقة الشرقية له وقد سبب إلقاؤه تباينا في الآراء والانطباعات بين الانتقادات والتشجيع ووجه عدد من المتابعين انتقادا لطريقة إلقاء الشاعر التي جنحت إلى ترقيق العبارة والصوت ومخارج الحروف بشكل قالوا إنه مبالغ فيه فيما ذكر آخرون أن الإلقاء لم يفسد القصيدة الممتازة مؤكدين أن الشاعر مثل صوتا مختلفا في المحافل التي اعتادت على نمط معين ومكرر وفي السياق نفسه
60090,20161128,2016-11-28,قياس محوسب,"10,000+",نتائج قياس تسجيل دخول قياس qiyassa لفتح ملف الاختبارات الورقية والمحوسبة  نتائج قدرات قياس,نتائج قياس القدرات موقع المركز الوطني للتقويم والقياس  رابط موقع قياس qiyassa  و تسجيل دخول قياس لخوض الاختبارات الورقية والمحوسبة ومنها اختبار كفايات المعلمات واختبار كفايات المعلمين الورقية بخلاف اختبارات قياس محوسب وننشر لكم أيضا مواعيد اختبارات قياس وأنواع الاختبارات التي يقرها المركز الوطني للتقويم والقياس على موقع قياس والتعرف على نتائج قدرات قياس اختبارات قدرات قياس محوسب والورقية سنوفر لكم شرح وافي عنها وطريقة التسجيل بها بخلاف اختبار محاكاة اختبارات قياس للاستعداد النفسي والذهني
60091,20161128,2016-11-28,مايا خليفه,"2,000+",الوحدة الاخباري  حقيقة شراء مايا خليفه نادي النصر السعودي مايا_خليفة_تشتري_نادي_النصر,حقيقة شراء مايا خليفه نادي النصر السعودي مايا_خليفة_تشتري_نادي_النصر حيث انتشر وسط مغردون عبر موقع التواصل الاجتماعي تويتر هشتاج جديد حولشراء مايا خليفة نادي النصر السعودي ويحمل هذا الهشتاج اسم مايا_خليفة_تشتري_نادي_النصر ويدور عنوان هذا الهشتاج ان مايا خليفة اشترت فريق نادي النصر السعودي وذلك بعد الانباء والاقاويل التي ترددت عن ان دونالد ترامب الرئيس الامريكي الجديد سيعين مايا خليفة سفيرة للمكلة العربية السعودية
60092,20161128,2016-11-28,مباراة برشلونة,"1,000+",الصحافة الأسبانية تشيد بكارلوس فيا بعد مباراة برشلونة,أصبح اللاعب المكسيكي كارلوس فيا نجم ريال سوسيداد الإسباني أحد أبرز اللاعبين في الكرة الإسبانية هذا الموسم خاصة بعد أدائه الرائع أمام برشلونة في المباراة التي جمعت بين الفريقين في مسابقة الدوري أمس الأحد وقالت صحيفة ماركا الإسبانية عن المهاجم المكسيكي في عددها الصادر اليوم الاثنين إنه يقدم أفضل مستوياته ويعيش أفضل لحظات مسيرته الرياضية وإذا كان فيا قد احتفى في الأسبوع الماضي بمولد نجله عبر مواقع التواصل الاجتماعي فقد أصبح هذا الأسبوع أحد أهم اللاعبين في الدوري الإسباني بعدما قدم أداء
