index,dayId,date,name,traffic,newsTitle,newsSnippet
63916,20161128,2016-11-28,Barcelona,"2,000+",Real Sociedad leave Barcelona with more than just food for thought,Six times Barcelona had been to face Real Sociedad in the league seven including a Copa del Rey draw and they had lost five and not won one On Sunday night Barcelonas team included just one player who was there when they last went and won  Leo
63917,20161128,2016-11-28,Crown Gospel Awards,"2,000+",UDr Tumi ushanelile kumaCrown Gospel Awards,Durban  Umculi wokholo uDr Tumi uwole izindondo ezinhlanu emcimbini walo nyaka wamaSABC Crown Gospel Awards obuseThekwini ngesonto UDr Tumi uwine iBest Gospel Album iBest Gospel Artist iBest Gospel Producer iBest Gospel Best Gospel
63918,20161128,2016-11-28,Cyber Monday deals,"2,000+",Cyber Monday deals are here,Cyber Monday is here and shoppers are hopping online to take advantage of some hefty discounts Consumers had already spent 540 million between midnight at 1000am ET according to Adobe The company expects Cyber Monday sales to hit 336
63919,20161128,2016-11-28,MTN,"5,000+",MTN extends its Black Friday promotion with CyberMonday,If you are lamenting about missing out on the MTN Black Friday promotion dont despair MTN is offering its customers the opportunity to receive its compelling airtime and data promotions today on CyberMonday New and existing MTN subscribers who
63920,20161128,2016-11-28,Raru,"2,000+",Raru reveals the incredible numbers behind its Black Friday Sale,While its immediately clear from the vast coverage and immense site traffic how popular Black Friday is in South Africa it doesnt automatically equate to thousands of sales For a company like Raru buying millions of Rands of stock for a single day
63921,20161128,2016-11-28,Sundowns,"2,000+",Tau roars as Sundowns maul Highland Park,Sibusiso VilakaziANTHONY laffor and Percy Tau and Themba Zwane celebrates scoring a goal during the Absa Premiership match between Mamelodi Sundowns and Highlands Park at Loftus Stadium on November 27 2016 in Pretoria South Africa Photo
63922,20161128,2016-11-28,Zuma,"20,000+",Zuma survives bruising NEC meeting,Johannesburg  President Jacob Zumas job seems to be safe for now He will leave for Havana Cuba in the early hours of Tuesday morning for Fidel Castros funeral service to be held at the weekend His trip to the Carribean Island nation follows a
63923,20161128,2016-11-28,loot,"5,000+",Demonetisation Shiv Sena backs people will loot banks remark of Shivaji kin,The Shiv Sena on Monday endorsed NCP MP Udayan Raje Bhosales warning that if the postdemonetization fails to improve soon people will loot banks Demonetisation has angered the people of the country The condition of the poor and working
63924,20161129,2016-11-29,Chapecoense,"10,000+",Colombia plane crash 75 dead and six survivors on flight carrying Chapecoense,The aircraft which had departed from Santa Cruz Bolivia was transporting the Chapecoense team from southern Brazil for the first leg of a twogame Copa Sudamericana final against Atletico Nacional of Medellin which was due to be played on Wednesday
63925,20161130,2016-11-30,Liverpool,"5,000+",Teen star makes Liverpool history,Liverpool starlet Ben Woodburn made history as the teenage striker became the clubs youngest ever goalscorer in Tuesdays 20 win over Leeds in the League Cup quarterfinals Aged 17 years and 45 days Woodburn enjoyed a moment to remember forever
63926,20161201,2016-12-01,December,"5,000+",Next SpaceX launch looks set for December 16,Elon Musks SpaceX looks like it may be back on track to launch soon according to Iridium Communications a manufacturer of satellites A liftoff date for 10 of Iridiums nextgeneration satellites is planned for December 16 at 1236 pm PT via a
63927,20161201,2016-12-01,Enzo Zidane,"2,000+",Enzo Zidane Zinedines son scores 18 minutes into his Real Madrid debut,As the son of one of the greatest footballers ever to grace the game Enzo Zidane might have felt just a little pressure when he came on for his Real Madrid debut on Wednesday night The 21yearold was brought on by his father Zinedine the Real
63928,20161201,2016-12-01,Lotto Results 30 November 2016,"2,000+",National Lottery results live Winning Lotto numbers for Wednesday 30 November,THE NATIONAL Lottery results are in and its time to find out who has won a life changing amount of money Could tonights jackpot of 2million see you handing in your notice jetting off to the Caribbean or driving a new Range Rover off a garage
63929,20161201,2016-12-01,Manchester United,"10,000+",Manchester United glad to have Bastian Schweinsteiger back says Carrick,Michael Carrick has expressed his happiness at seeing Bastian Schweinsteiger return to Manchester Uniteds first team in the 41 EFL Cup victory over West Ham United The German came on for the last four minutes of the quarterfinal at Old Trafford
63930,20161201,2016-12-01,Orlando Pirates,"20,000+",Orlando Pirates parade images of commemorative 80th anniversary jersey,An image of Pirates captain Happy Jele and senior players Oupa Manyisa and Thabo Matlaba sporting the commemorative jersey was posted on Bucs official Twitter page on Thursday The jersey bares a similarity in its limegreen colour to the shirt that
63931,20161201,2016-12-01,World AIDS Day,"10,000+",NIH Statement on World AIDS Day 2016,This year the world marked the 35th anniversary of the first published reports of what would come to be known as HIVAIDS This disease has wrought enormous suffering and devastation and caused more than 35 million deaths Yet today thanks to
63932,20161202,2016-12-02,J Cole,"5,000+",J Cole comes for Kanye West Drake and Wale in False Prophets,On Thursday the North Carolina rapper dropped his highlyanticipated 40minute documentary Eyez The Tidal exclusive features upcoming tracks from his fourth studio album 4 Your Eyez Only where he apparently shares his thoughts on everyone from
63933,20161202,2016-12-02,Nelson Mandela Children S Hospital,"2,000+",WATCH Nelson Mandela Childrens Hospital official opening,Parents can talk to their child through the clear plastic and all sides come down the philosophy being that healing happens in happier spaces The top floor of the hospital has 27 rooms for families and hopes to have its corridors bustling with
63934,20161202,2016-12-02,Nico Rosberg,"5,000+",Nico Rosberg announces shock F1 retirement days after world title win I am,Nico Rosberg the 2016 Formula One world champion has announced his shock retirement from the sport  only five days after securing the title The Mercedes driver said he had climbed a mountain and reached a peak that leaves him 1000 sure he
63935,20161202,2016-12-02,Tomi Lahren,"2,000+",Watch Trevor Noah owns Tomi Lahren,Trevor Noah showed again last night that even under him The Daily Show is not just about the giggles Noah invited Tomi Lahren the television and online video host and liberal agitator to be guest on his show The 24yearold Lahren who hosts a
63936,20161202,2016-12-02,Trevor Noah,"2,000+",Trevor Noahs book a bestseller in the USA,It seems that the USA is in love with our Noah Following his success as the new host of American comedy news show The Daily Show  a role he took over in 2015  just a year later his new book Born A Crime is being well received in the USA The book
63937,20161203,2016-12-03,Chelsea,"10,000+",Ruthless Chelsea fight back to sink Manchester City,Chelsea came from behind to secure a dramatic 31 win at Manchester City and forge clear at the top of the Premier League as their topofthetable clash ended in a mass brawl and two City players were sent off on Saturday
63938,20161203,2016-12-03,Dubai Sevens,"2,000+",Blitzboks upset Fiji to win Dubai Sevens event,Cape Town  The Springbok Sevens side won the World Rugby Sevens Series event in Dubai after upsetting Olympic gold medallists Fiji in the Saturdays Cup Final Full list of the results from the Dubai Sevens The Blitzboks won 2614 after leading 147
63939,20161203,2016-12-03,El Clasico,"20,000+",Barcelona 11 Real Madrid El Clásico  as it happened,Barcelona 11 Real Madrid El Clásico  as it happened Sergio Ramoss lastminute goal steals a point for Real Madrid who stay six points clear at the top of La Liga Updated 4h ago Sergio Ramos heads in Real Madrids last minute equaliser
63940,20161203,2016-12-03,Kaizer Chiefs,"10,000+",Kaizer Chiefs stunned by Chippa in PE,Port Elizabeth  Although they scored first through Siphiwe Tshabalala Kaizer Chiefs lost their Absa Premiership tie 31 to Chippa United at the Nelson Mandela Bay Stadium on Saturday evening As it happened Chippa United 31 Kaizer Chiefs On the
63941,20161203,2016-12-03,PSL,"5,000+",PSL Absa Premiership match report Platinum Stars Polokwane City,PSL Absa Premiership match report Platinum Stars Polokwane City Posted 3 December 2016 Time 1338 Print this article Polokwane City edged a desperate Platinum Stars 32 at Royal Bafokeng Stadium in Rustenburg on Saturday Sipho Jembula rifled
63942,20161204,2016-12-04,Liverpool,"10,000+",Liverpool push selfdestruct button,Want to see a team implode in 20 minutes Then watch a replay of this This was a selfdestruction of epic proportions Liverpool were cruising to victory at 31 but somehow snatched defeat from the jaws of victory conceded three goals in the final 20
63943,20161205,2016-12-05,BREAKING NEWS,"2,000+",BREAKING NEWS Chief shot dead daughter wounded in attack,A KwaZuluNatal traditional leader was shot and killed on Monday afternoon in an apparent hit Save  Share Tweet  Email  Print According to a relative who didnt want to be identified Inkosi Linda Sono Mathonsi 57 was driving with his daughter
63944,20161205,2016-12-05,Nelson Mandela,"5,000+",Smith boost for Boks for Nelson Mandela Legacy Cup,Cape Town  In what can be regarded as a massive coup for the Springboks legendary former South African cricket captain Graeme Smith has agreed to join them for the Nelson Mandela Legacy Cup match against the Proteas in a playercoach capacity
63945,20161205,2016-12-05,News24 Today,"2,000+",Cops faked my DNA claims Rhodes Park accused,Do you realise that throughout your entire testimony today you never mentioned the name BJ or JB prosecutor Monde Mbaqa told him Lawrence looked irritated and frowned before replying You are doing exactly what these police officers did to me
63946,20161205,2016-12-05,Sfiso Ncwane,"500,000+",Gospel singer Sfiso Ncwane has died,A family spokesperson confirmed to TshisaLIVE that Sfiso had been rushed to hospital on Sunday night His wife called the paramedics He was feeling weak and he was admitted to hospital at 730pm said Sipho Makhabane The gospel star died less than
63947,20161205,2016-12-05,Vanessa Hartley,"5,000+",FillUpHoutBay Twitter roasts racist Vanessa Hartley in memes,Hout Bay resident Vanessa Hartley came under fire on Monday after her rant about too many Africans flocking to Hout Bay went viral They are like stupid animals we should tie them to a rope she said as part of her rant Social media users
63948,20161206,2016-12-06,Champions League,"2,000+",Basel v Arsenal UEFA Champions League LIVE score Plus other scores and results,The UEFA Champions League group stage comes to a conclusion this week but seeded spots for a place in the last16 are still up for grabs Arsenal need to score more points than Paris SaintGermain to finish top of Group A at the French sides expense
63949,20161206,2016-12-06,John Block,"2,000+",Former NC MEC John Block gets 15 years for corruption,The National Prosecuting Authoritys NPA Phaladi Shuping says Mr John Block was sentenced to 15 years for corruption and he also got 12 years for money laundering The judge ordered the sentences to run concurrentlyShuping says the prosecution
63950,20161206,2016-12-06,Uefa Champions League,"2,000+",Porto and Sevilla each vying for final knockout berths Uefa Champions League,While Real Madrid and Borussia Dortmund grapple for top spot in Group F twice former winners Porto and Sevilla look to clinch the two remaining spots in the Champions League last 16 on Wednesday Portuguese giants Porto European champions in 1987
63951,20161208,2016-12-08,Cricinfo,"2,000+",Ranjit Fernando appointed Sri Lanka manager,Former wicketkeeperbatsman Ranjit Fernando has been appointed manager of the Sri Lanka team for the tours of South Africa and Australia Fernando will replace Charith Senanayake who held the position for most of this year Fernandos appointment is
63952,20161208,2016-12-08,Justin Bieber,"5,000+",Adele And Justin Bieber Top Billboards YearEnd Lists,LOS ANGELES CA  DECEMBER 02 Singer Justin Bieber performs onstage during 1027 KIIS FMs Jingle Ball 2016 presented by Capital One at Staples Center on December 2 2016 in Los Angeles California Photo by Kevin WinterGetty Images for
63953,20161208,2016-12-08,Lotto Results Sa,"10,000+",Lotto results Wednesday December 07,24com encourages commentary submitted via MyNews24 Contributions of 200 words or more will be considered for publication We reserve editorial discretion to decide what will be published Read our comments policy for guidelines on contributions
63954,20161208,2016-12-08,Sfiso Ncwane Memorial Service,"5,000+",Hundreds remember Sfiso Ncwane,PRETORIA  Memorial services for awardwinning gospel singer Sfiso Ncwane was held in Durban on Thursday Ncwanes fans in Johannesburg will get the opportunity to attend a memorial service on Friday He will be laid to rest at Heroes Acre in Durban
63955,20161208,2016-12-08,vegan,"5,000+",Bangor vegan restaurant Voltaire refuses new 5 note,A vegan restaurant in Gwynedd has said it will not accept the new 5 note as it contains animal products Rachael Phoenix the owner of Voltaire in Bangor said she was sickened by the decision to use tallow a type of animal fat in the notes She
63956,20161209,2016-12-09,J Cole New Album,"10,000+",Listen to J Coles New Album 4 Your Eyez Only,as previously reported doesnt feature any guest contributions and omits the enigmatic artists recent releases Everybody Dies and False Prophets News of J Coles first new solo material in two years emerged only in recent days Stream the
63957,20161209,2016-12-09,Kirk Douglas,"2,000+",Lonely Kirk Douglas turns 100,Although the play was not a smash hit Douglas passion for Broadway kept the show running for six months Douglas would consider himself lucky to make his 100th birthday after a few neardeath experiences His wife dissuaded him from getting on the
63958,20161209,2016-12-09,Louis Tomlinson,"2,000+",Louis Tomlinsons Mom Johannah Deakin 43 Has Died from Leukemia,Louis Tomlinsons mom Johannah Deakin has died from leukemia PEOPLE confirms She was 43 It is with immeasurable sadness that Johannah Deakins family said goodbye to Johannah in the early hours of Wednesday Dec 7 the family said in a
63959,20161209,2016-12-09,Manchester United Fc,"5,000+",Mitten Mourinho seeks further progress,Jose Mourinho will attempt to lead Manchester United to victory over a team from the top half of the Premier League when his side host Tottenham on Sunday The Portuguese goes into the game in optimistic mood United are unbeaten in seven games and
63960,20161210,2016-12-10,Cape Town Sevens,"5,000+",Blitzboks batter Russia in Cape Town Sevens opener,Cape Town  In the buildup to the muchanticipated Cape Town Sevens tournament the Springbok Sevens members spoke a lot about forgetting about their Dubai win and starting over And they did exactly that with a scintillating performance against a
63961,20161210,2016-12-10,John Cena,"5,000+",This Week In WWE Biz AJ Styles To Raw John Cena Issue The Undertaker Plans,It appears that Styles will go back to working on top with John Cena over the WWE title who returns on 1226 for a house show in Madison Square Garden and is expected to work regularly from that point on The storyline will revert back to the idea
63962,20161210,2016-12-10,Joseph Mascolo,"10,000+",Joseph Mascolo Stefano DiMera dies Twitter goes crazy,Joseph was a big ol bear with a puppy dog heart Im so blessed to have had these many years with him I will miss him every day said his wife Patricia SchultzMascolo in a statement Joseph first appeared on Days of Our Lives in 1982 and had a
63963,20161210,2016-12-10,Sfiso Ncwane funeral,"20,000+",5 touching moments from Sfiso Ncwanes funeral,Sfiso Ncwanes funeral TshisaLIVE  20161210 1628520 Friends family highprofile personalities and thousands of loving fans packed Moses Mabhida Stadium Durban on Saturday to pay their final respects to gospel star Sfiso Ncwane Save
63964,20161211,2016-12-11,Anthony Joshua,"2,000+",Anthony Joshua accepts he must raise his game to beat Wladimir Klitschko,Anthony Joshua can legitimately claim to be the best heavyweight in the world if he beats Wladimir Klitschko in front of 91000 fans at Wembley Stadium in April but the quiet man from Watford says he will not be consumed by the temptations that have
63965,20161211,2016-12-11,Blitzbokke,"2,000+",England trip up Blitzbokke,Chris Dry opened the scoring for the Blitzbokke after some good interplay with Kwagga Smith as SA led 50 England struck straight back through a try from Richard de Carpentier as he showed a good turn of pace to break away from the Blitzbokke defence
63966,20161211,2016-12-11,Cape Town City FC,"2,000+",Cape Town City in dreamland with TKO final win,While Matsatsantsa were to enjoy some good spells of possession after the goal the Cape side looked more threatening and Pieterse had to be brave to fling himself in front of Sibusiso Masina after a poor backpass by Clayton Daniels on 29 minutes
63967,20161211,2016-12-11,Chelsea,"5,000+",Costa sends Chelsea back on top with ninth win in a row,LONDON  Diego Costa made the difference as Chelsea overcame a defensive West Bromwich Albion 10 to return to the top of the Premier League with their ninth victory in a row on Sunday The Spaniards secondhalf strike sent the Blues three points
63968,20161211,2016-12-11,Mamelodi Sundowns Fc,"2,000+",Sundowns Nominated For Top CAF Award,The Brazilians have enjoyed a successful 2016 after they lifted their first CAF Champions League title after beating Zamalek in the final Pitso Mosimanes charges were also crowned Absa Premiership champions and Telkom Knockout champions this year
63969,20161211,2016-12-11,Man City,"2,000+",Man City defender Bacary Sagna refuses to blame Pep Guardiola for Leicester defeat,The City boss has made 46 changes to his starting line up in just 14 Premier League matches so far and Saturdays match featured Pablo Zabaleta in an unclear defencemidfield position and Yaya Toure being substituted on for striker Kelechi Iheanacho
63970,20161211,2016-12-11,Sundowns,"10,000+",Irrepressible Sundowns continue to set the bar very high and dominate Caf nominees,Caf nominated Mosimane in the coach of the year category while Sundowns are in the running for the club of the year award Sundowns forced their way into the list after their triumphant march to the African Champions League title last month
63971,20161211,2016-12-11,X Factor Uk 2016,"5,000+",The X Factor 2016 live final Can Saara Aalto beat Matt Terry,Do Madness have kids who love X Factor and begged them to go on it Did you notice that Nicole Scherzinger attempted to dance along at the beginning but realised it wasnt really her genre Very strange business indeed Anyone else feel like theyre
