index,dayId,date,name,traffic,newsTitle,newsSnippet
83709,20161129,2016-11-29,Alan Ruschel,"20,000+",nan,nan
83710,20161129,2016-11-29,Chapecoense,"200,000+",nan,nan
83711,20161129,2016-11-29,Cleber Santana,"100,000+",nan,nan
83712,20161129,2016-11-29,Evan Rachel Wood,"5,000+",nan,nan
83713,20161129,2016-11-29,Louisa May Alcott,"20,000+",nan,nan
83714,20161129,2016-11-29,Simon Bolivar,"10,000+",nan,nan
83715,20161129,2016-11-29,Tecnocom,"10,000+",nan,nan
83716,20161129,2016-11-29,The Walking Dead 7x06,"5,000+",nan,nan
83717,20161130,2016-11-30,Chapeco,"5,000+",nan,nan
83718,20161130,2016-11-30,Chapecoense Plantilla,"5,000+",nan,nan
83719,20161130,2016-11-30,Copa del Rey,"50,000+",nan,nan
83720,20161130,2016-11-30,Eduardo Mendoza,"20,000+",nan,nan
83721,20161130,2016-11-30,Helio Neto,"5,000+",nan,nan
83722,20161130,2016-11-30,Hercules Barcelona,"10,000+",nan,nan
83723,20161130,2016-11-30,Jackson Follmann,"5,000+",nan,nan
83724,20161130,2016-11-30,Keo Woolford,"5,000+",nan,nan
83725,20161130,2016-11-30,Maluma,"20,000+",nan,nan
83726,20161130,2016-11-30,Paul Walker,"10,000+",nan,nan
83727,20161130,2016-11-30,Primavera Sound,"20,000+",nan,nan
83728,20161130,2016-11-30,Real Madrid Hoy,"20,000+",nan,nan
83729,20161130,2016-11-30,Real Madrid Hoy,"10,000+",nan,nan
83730,20161130,2016-11-30,San Andres,"10,000+",nan,nan
83731,20161201,2016-12-01,1 de diciembre,"5,000+",nan,nan
83732,20161201,2016-12-01,Apple Pay,"5,000+",nan,nan
83733,20161201,2016-12-01,Bella Hadid,"10,000+",nan,nan
83734,20161201,2016-12-01,El Invitado,"5,000+",nan,nan
83735,20161201,2016-12-01,Irina Shayk,"100,000+",nan,nan
83736,20161201,2016-12-01,J Balvin,"10,000+",nan,nan
83737,20161201,2016-12-01,Jagadish Chandra Bose,"5,000+",nan,nan
83738,20161201,2016-12-01,Jennifer Lawrence,"5,000+",nan,nan
83739,20161201,2016-12-01,Magnus Carlsen,"5,000+",nan,nan
83740,20161201,2016-12-01,Mariano Real Madrid,"10,000+",nan,nan
83741,20161201,2016-12-01,Real Sociedad,"5,000+",nan,nan
83742,20161201,2016-12-01,Ronaldinho,"5,000+",nan,nan
83743,20161201,2016-12-01,Victoria Secret,"50,000+",nan,nan
83744,20161201,2016-12-01,diciembre,"10,000+",nan,nan
83745,20161202,2016-12-02,Barça Madrid,"20,000+",nan,nan
83746,20161202,2016-12-02,Nico Rosberg,"50,000+",nan,nan
83747,20161202,2016-12-02,Referendum Italia,"5,000+",nan,nan
83748,20161202,2016-12-02,Robbie Williams,"10,000+",nan,nan
83749,20161202,2016-12-02,Tesla,"10,000+",nan,nan
83750,20161203,2016-12-03,Amy Schumer,"5,000+",nan,nan
83751,20161203,2016-12-03,Atletico De Madrid,"20,000+",nan,nan
83752,20161203,2016-12-03,Futbol,"10,000+",nan,nan
83753,20161203,2016-12-03,Iniesta,"5,000+",nan,nan
83754,20161203,2016-12-03,Kirk Douglas,"5,000+",nan,nan
83755,20161203,2016-12-03,Neymar,"5,000+",nan,nan
83756,20161203,2016-12-03,Programacion,"10,000+",nan,nan
83757,20161203,2016-12-03,San Francisco Javier,"10,000+",nan,nan
83758,20161203,2016-12-03,Sport,"100,000+",nan,nan
83759,20161203,2016-12-03,Taiwan,"5,000+",nan,nan
83760,20161204,2016-12-04,Athletic,"10,000+",nan,nan
83761,20161204,2016-12-04,Austria,"10,000+",nan,nan
83762,20161204,2016-12-04,Batman,"5,000+",nan,nan
83763,20161204,2016-12-04,Betis,"20,000+",nan,nan
83764,20161204,2016-12-04,Diario Sur,"50,000+",nan,nan
83765,20161204,2016-12-04,Jennifer Lopez,"5,000+",nan,nan
83766,20161204,2016-12-04,Referendum Italia,"20,000+",nan,nan
83767,20161204,2016-12-04,Santa Barbara,"10,000+",nan,nan
83768,20161204,2016-12-04,The Last of Us 2,"20,000+",nan,nan
83769,20161205,2016-12-05,6 de diciembre,"5,000+",nan,nan
83770,20161205,2016-12-05,Deportivo Real Sociedad,"5,000+",nan,nan
83771,20161205,2016-12-05,Guns And Roses,"5,000+",nan,nan
83772,20161205,2016-12-05,Kirk Douglas,"10,000+",nan,nan
83773,20161205,2016-12-05,Manuel Valls,"5,000+",nan,nan
83774,20161205,2016-12-05,Nelson Mandela,"5,000+",nan,nan
83775,20161205,2016-12-05,Ronaldinho,"10,000+",nan,nan
83776,20161205,2016-12-05,Sporting,"5,000+",nan,nan
83777,20161206,2016-12-06,Alejandro Sanz,"10,000+",nan,nan
83778,20161206,2016-12-06,Amazon Go,"5,000+",nan,nan
83779,20161206,2016-12-06,Angelina Jolie,"5,000+",nan,nan
83780,20161206,2016-12-06,Atletico De Madrid,"20,000+",nan,nan
83781,20161206,2016-12-06,Barcelona Fc,"10,000+",nan,nan
83782,20161206,2016-12-06,Champions League,"50,000+",nan,nan
83783,20161206,2016-12-06,FC Barcelona,"10,000+",nan,nan
83784,20161206,2016-12-06,Football leaks,"5,000+",nan,nan
83785,20161206,2016-12-06,Gigi Hadid,"5,000+",nan,nan
83786,20161206,2016-12-06,Johnny Depp,"5,000+",nan,nan
83787,20161206,2016-12-06,Maluma 4 Babys,"10,000+",nan,nan
83788,20161206,2016-12-06,Peter Vaughan,"10,000+",nan,nan
83789,20161206,2016-12-06,San Nicolas,"5,000+",nan,nan
83790,20161208,2016-12-08,8 de diciembre,"10,000+",nan,nan
83791,20161208,2016-12-08,Athletic Club,"5,000+",nan,nan
83792,20161208,2016-12-08,Celta de Vigo,"5,000+",nan,nan
