index,dayId,date,name,traffic,newsTitle,newsSnippet
70046,20161129,2016-11-29,Cx9,"2,000+",MAZDA全新CX9七人座SUV上市1489萬起,MAZDA來台直營後積極強化產品線再導入Allnew MAZDA CX9頂級跨界七人座SUV在台上市搭載完整iACTIVSENSE主動安全科技與全新渦輪增壓引擎價格自1489萬起台灣馬自達主管表示看好台灣休旅市場需求此次導入全新MAZDA CX9台灣也是
70047,20161129,2016-11-29,Cyber Monday,"2,000+",再買剁手指最後一擊Cyber Monday 掃貨攻略,據Adobe統計由凌晨至東岸時間早上10時消費者已經上網花了54億美元買買買估計今年Cyber Monday的銷售將會高達336億美元目前最受觀迎的電子產品分別是Sony PS 4微軟Xbox三星4K電視iPad以及Amazon Fire以及玩具以下就有各大商家
70048,20161129,2016-11-29,Final Fantasy Xv,"5,000+",Final Fantasy XV攻略專區王子復仇記故事攻略心得,Final Fantasy XVFF15太空戰士XV自2006年公布終於正式推出今次Final Fantasy XV大膽地一改風格變了動作遊戲陽極陰衰究竟是神作還是雷作我們01科技玩物編輯部特意製作攻略專頁一同見證
70049,20161129,2016-11-29,丁文琪,"20,000+",死會29歲林宥嘉臉書求婚丁文琪,29歲歌手林宥嘉和31歲女友丁文琪穩定交往2年多近來越愛越高調不吝在公開場合放閃曬恩愛之前表態有想婚念頭今天晚間10點多他無預警在臉書拋出震撼彈向丁文琪求婚林宥嘉今年6月曾透露想婚的念頭我覺得人生到30歲長輩身體變得不是很好這
70050,20161129,2016-11-29,七次的初吻,"10,000+",七次的初吻李敏鎬做旅行家李鍾碩演巨星預告初公開就要吻,被7位男神包圍兼表白是甚麼感受相信網絡劇七次的初吻前譯初吻就第七次女主角李礎熙絕對可以答到你由樂天免稅店企劃的網劇七次的初吻今日公開預告劇集匯聚李準基朴海鎮池昌旭Kai玉澤演李鍾碩及李敏鎬七大男神齊齊對李礎熙發動
70051,20161129,2016-11-29,修杰楷,"10,000+",狠狠榨乾修杰楷服役五個月代言五活動,更新內容新增動新聞好爸爸藝人修杰楷今年5月入伍6月2日分派到新北市民政局服役日前因妻子賈靜雯懷第二胎依規定申請提前退役今天公文正式生效統計修杰楷總共待在市府短短5個月卻馬不停蹄地被安排了5個代言活動包括有ICG國際少年運動會
70052,20161129,2016-11-29,兔兔,"2,000+",上回打LOL掉肩帶爆乳妹誇張直播咿咿喔喔,香港爆乳胸模兔兔日前才因穿著細肩帶打LOL開直播打到一半不小心肩帶掉落讓隊友大吃冰淇淋網友瞠目結舌她又遭網友爆料周日在17開直播竟然更大膽當著6萬名觀看用戶做出疑似自慰動作讓宣稱會加強淨化直播內容的17當場破功再惹羶色
70053,20161129,2016-11-29,凱特哈德森,"10,000+",小布又爆有小三才離婚這次是凱特哈德森,美國雜誌Womans Day報導布萊德彼特的前任保鑣向媒體表示如果布萊德彼特與凱特哈德森正在交往我也不會感到驚訝透露凱特哈德森與小布的互動一直非常好且自從小布離婚後2人就頻繁約會互動甜蜜身旁友人都認為兩人已經正式交往不過每日
70054,20161129,2016-11-29,台中地檢署拍賣,"2,000+",直播中檢拍賣百萬名車 百人喊價搶標,想要撿便宜的民眾不妨來看看這個拍賣會年底到了各縣市的地檢署都會舉辦查扣物的拍賣會台中地檢署昨天上午就拍賣了5輛車有價值200萬元的休旅車吸引上百位民眾前來搶標還用臉書直播拍賣過程 民眾不停舉牌加價搶標為的全是一旁這幾部車5
70055,20161129,2016-11-29,天心,"20,000+",狗仔偷拍天心新婚老公現身歐巴搬行李住進香閨,恭喜天心結婚了她今在臉書宣布我吳天心結婚了丁丁接棒經紀人廖素平證實新郎是45歲韓國攝影師金榮敏兩人去年在中國拍戲認識上月已在韓國登記結婚並未懷孕之後也在臉書謝謝各界關心感恩寶貝們的祝福大家一起幸福蘋果狗仔守候在
