index,dayId,date,name,traffic,newsTitle,newsSnippet
72518,20161129,2016-11-29,Final Fantasy XV,"5,000+",สาวกหามพลาด Walkman Final Fantasy XV Edition จาก Sony เตรยม,กลายเปนหนงในเกมฝงคอนโซลประจำปนทนาจบตามองไมใชเลนสำหรบ Final Fantasy XV ภาคลาสดทปลอยใหแฟนๆ รอมาอยางยาวนานเพราะใชเวลาการพฒนามากวา 10 ป ซงในวนน 29 พฤศจกายน กไดฤกษวางจำหนายอยางเปนทางการเปนทเรยบรอย
72519,20161129,2016-11-29,พระบรม,"2,000+",สนชอญเชญ สมเดจพระบรมฯขนเปนพระมหากษตรย เรมรชกาลใหม,นร050344549 ลงวนท 29 พฤศจกายน 2559 เรอง แจงเรองการสถาปนาแตงตงพระรชทายาทไวแลวตามกฎมณเฑยรบาลวาดวยการสบราชสนตตวงศ พระพทธศกราช 2467 แจงวา บดนราชบลลงกวางลงและพระมหากษตรยไดทรงแตงตงสมเดจพระบรมโอรสาธราช เจาฟามหาวชราลงกรณ
72520,20161129,2016-11-29,อยากดงเดยวจดให,"2,000+",เพจดงเปดคลปแกงดาราอยครบ กอนเกดเหตตบลกนายพล,เฟซบกแฟนเพจ อยากดงเดยวจดให V4 เผยคลปเหตการณในรานมาลนสกาย แกงดาราอยครบ กอนเกดเหตตบลกนายพล หลงจากกรณเหตการดสถานบนเทงชอดงของเมองเชยงใหมรมทำราย นายอศราชนวฒภ หรอ เจมสบอนด อาย 23 ป โดยมชอดารานกแสดงกลมหนงเขาไปพวพนดวยนน
72521,20161130,2016-11-30,Motor Expo 2016,"10,000+",Trending Today,ทมาในชดไทยสขาวเชนกน ขณะทพรตตบธอนตางกรวมใจแตงชดโทนสดำขาวดเรยบรอย จนเรยกไดวาแปลกตาไปเยอะทเดยว งานมอเตอรเอกซโป 2016 Motor Expo 2016 จะจดรอบบคคลทวไประหวางวนท 212 ธนวาคม 2559 น หากใครอยากมาเหนกบตาวาพรตตปนจะสวยขนาดไหน
72522,20161130,2016-11-30,ฉตรสดา นาค,"2,000+",สองความแซบแฟน จน ธรต หรอ ฉตรสดา แหงนาค ออหอเจอแบบนเจาแมม,ภายหลงจากทละครเรอง นาค ยอนกลบมาใหแฟน ๆ ไดดกนอกครง กทำใหกระแส นาคฟเวอร ไหลทะลกเขามาอกรอบ พรอมกนนยงมการแนะนำตวละครใหม ๆ อยาง ฉตรสดา ทเปนบรวารเจาแมนาค ซงตวละครฉตรสดาน ได จน ธรต บตรดหงษ หรอ จน สตรอเบอรร ชสเคก strawberry
72523,20161130,2016-11-30,พอลล พรพรรณ,"2,000+",พอลล พรพรรณ แตงงาน เขาพธหมนแฟนหนม หวานชนมน,หลงจากทปลอยนำจมเปนภาพพรเวดดงหวานๆ กบแฟนหนม สรางความประหลาดเลกนอยใหกบแฟนๆ เพราะเปนการสละโสดทฉบพลนไปหนอย สำหรบดาราสาว พอลล พรพรรณ ทไดควงแขนแฟนหนม เบนซ รฐพงศ ทายาทธรกจไทยสตล เขาสประตววาห เมอวานน 29 พย
72524,20161130,2016-11-30,เลขเดด,"20,000+",คอหวยแหโรยแปงทาถตะเคยนทองวดสนกำแพง หาเลขเดดคกคก,เชยงใหม  คอหวยทงใกลทงไกลแหจดธปกราบไหว เจาแมพวงผกาเจาแมสายสมร กอนโรยแปงทาถตะเคยนทอง 2 ตนในวดสนกำแพง เชยงใหม หาเลขเดดกนตอเนอง หลงขาวแพรสะพดใหโชคคนถกหวยหลายงวดตด วนน 30 พย ผสอขาวรายงานวา
72525,20161130,2016-11-30,โครงการลงทะเบยนเพอสวสดการแหงรฐ,"5,000+",เลอนจายเงนผมรายไดนอย เรม 3 ธค เชกชอทางเวบสรรพากร,ผมรายไดนอยทลงทะเบยนเพอสวสดการแหงรฐ ตรวจชอไดทเวบสรรพากรแบงกรฐทยนลงทะเบยน ดาน ปลดคลง เผย มาตรการลดภาระคานำไฟ อยระหวางพจารณา สวน ชอปชวยชาต ลดหยอนภาษไมเกน 15000 จอเขา ครมเรวๆน  นอกจากน ไดเสนอมาตรการ ชอปชวยชาต ใหทประชมคณะรฐมนตร พจารณา
72526,20161130,2016-11-30,โดง อรรถชย อนนตเมฆ,"2,000+",โดง อรรถชย สอนนองดาราอยาเอาชอเสยงไปเสยง รหาผวเปนมาเฟย,โดง อรรถชย อนนตเมฆ อดตดารานกแสดง ไดโพสตขอความลงในเฟซบกสวนตว กลาวถงดาราสาวคนหนง พรอมกบสอนนองดวยวลเดด อยาเอาชอเสยงไปเสยง รหาผวมาเฟย ควรยดหลกปฏบตตามหลกธรรมคำสอนในการใชชวต อดตดารานกแสดงไดโพสตขอความถงดาราสาวคนหนง
72527,20161201,2016-12-01,1ธนวาคม2559,"5,000+",สรปสภาวะตลาดทองคำแทง วนท 1 ธนวาคม 2559,สภาวะตลาดวนท 01 ธนวาคม 2559 ราคาทองคำแกวงตวในกรอบทระดบ 116345117669 ดอลลารตอออนซ ขณะทราคาทองคำแทง 965 ภายในประเทศขายออกอยท 19850 บาทตอบาททองคำ โดยราคาปรบตวลดลง 200 บาท จากวนกอนหนาทระดบ 20050 บาทตอบาททองคำ
72528,20161201,2016-12-01,ตรวจ,"10,000+",วลาศ จ บกหม กลาผาตด กปภ หลงตรวจสอบพบทจรตมากสด,ประกอบกบนายเสร ศภราทตย ผวา กปภเองเปนคนใหมทไมใชลกหมอของ กปภ และไมกลาตดสนใจผาตดองคกรเอาเนอรายออก ทมผบรหารระดบสงของ กปภ เชน รองผวา กปภ เทาทตรวจสอบพบวามสวนพวพนในการทจรตมไมนอยกวา 4 คน รวมถงระดบ ผอสำนกงานเขต กปภ และผจดการ
72529,20161201,2016-12-01,ถายทอดสด,"5,000+",ศาลใหประกนบอล กบพวกคดตบลกนายพลแลว,ในฐานะททรงเปนพระมหากษตรยนกพฒนา เพอเทดพระเกยรตพระอจฉรยภาพ และพระราชกรณยกจดานการพฒนา โดยเฉพาะอยางยงในเรองการอนรกษดน ทงน จะมการถายทอดการจดกจกรรมวนดนโลกประจำป 2559 ทาง webcast ของสหประชาชาต  ในคนวนศกรท
72530,20161201,2016-12-01,ปญญาสมวาร,"2,000+",อหลงสวนบำเพญกศลปญญาสมวารถวายร9,ทสนามกฬาอำเภอหลงสวน วาทรอยตรกตตภพ รอดดอน นายอำเภอหลงสวน นำสวนราชการ ตำรวจ ผนำองคกรปกครองสวนทองถน กำนนผใหญบาน อสม นกเรยนจากโรงเรยนตางๆ และประชาชนทวไป ไดรวมประกอบพธทำบญตกบาตรบำเพญพระราชกศลเนองในพระราชพธปญญาสมวาร
72531,20161201,2016-12-01,พระบรม,"5,000+",สมเดจพระบรมฯเสดจฯทรงบำเพญพระราชกศลปญญาสมวาร,สมเดจพระบรมโอรสาธราชฯ สยามมกฎราชกมาร พรอมดวย พระบรมวงศานวงศเสดจพระราชดำเนนโดยรถยนตพระทนงจากพระทนงอมพรสถาน พระราชวงดสต ไปยงพระบรมมหาราชวง เพอทรงบำเพญพระราชกศลปญญาสมวารถวายพระบรมศพ พระบาทสมเดจพระปรมนทรมหาภมพลอดลยเดช
