index,dayId,date,name,traffic,newsTitle,newsSnippet
73158,20161128,2016-11-28,A2 TV,"20,000+",A2 TV Türksat frekansı nasıl ayarlanır A2 TV Frekansı,Yeni tv kanalı A2 frekansı nedir A2 şifreli mi uydu alıcısına hangi frekans nasıl girilmelidir hepsi ve daha fazlası haberimizde A2 Ziraat Türkiye Kupası maçlarını yayınlayacak Ziraat Türkiye Kupası maçları A2 kanalından canlı olarak evlerimize
73159,20161128,2016-11-28,A2 frekans,"10,000+",A2 frekans bilgileri canlı A2 izle,A2 frekans bilgilerini arayanlar dikkat A2 ile ilgili frekans bilgilerine haberimizden ulaşabilirsiniz Türkiyede bir yeni spor kanalı daha yayın hayatına başladı A2 yayın hayatına girmesiyle birlikte kısa sürede sporseverlerin dikkat çeken bir
73160,20161128,2016-11-28,Almeda Abazi,"5,000+",Tolgahan Sayışman Almeda Abaziyi istedi,Kahveler içildikten sonra baba Haluk Sayışman Abazi ailesine Allahın emri peygamberin kavliyle kızınız Almedayı oğlumuz Tolgahana istiyoruz dedi Genç kızın annesi Albana Abazi Onun kalbi zaten Tolgahanın yanıtını verdi İki aile daha sonra
73161,20161128,2016-11-28,Amir,"10,000+",İnternet fenomeni Amir kimdir  Çorumlu Amir Zuhal Topalla,İnternet fenomeni Amir Zuhal Topalla programına geldi ve Yapraka talip oldu Programa oyun havası oynayarak giren Amir herkesi gülmekten kırdı geçirdi Ankaranın Bağları ve Hayatı Tespih Yaptım şarkıları eşliğinde oynayan Amir programa renk kattı
73162,20161128,2016-11-28,Barcelona,"10,000+",Barcelona yine puan kaybetti,Karşılaşmaya çok iyi başlayan ev sahibi Real Sociedad güçlü rakibine sahada çok az boş yer bırakıp baskılı bir futbol oynadı Barcelona ise oyun kurmakta zorlanıp hücuma çıkamadı İlk yarı 00 sona erdi 3
73163,20161128,2016-11-28,Büyük Ayı,"10,000+",Büyük Ayının cezvesinin kenarından dümdüz devam edersen onu,Kuzey Yıldızının kolayca bulunmasında faydalanıldığından gök bilginleri coğrafyacılar askerler birçok  kimseler Büyükayıyı tanırlar Kuzey Kutbunun gök bölgesinde olan bu yedi yıldız bir arada hemen hemen bir cezve şeklini andırır Eskiler bu
73164,20161128,2016-11-28,Didem Delen,"10,000+",Kısmetse Olur Didem Delen kimdir,Kısmetse Olur yarışmasından tanınan Didem Delen hakkında ilginç bir iddia ortaya atıldı Didem Delenin estetiksiz halde O Ses Türkiye yarışmasına katıldığına ve sonra estetik yaptırdığına dair iddiaların gerçek olup olmadığı merak edildi Kanal Dde
73165,20161128,2016-11-28,Fenerbahçe Rize Özet,"20,000+",Rize  FB 15 ÖZET,Fenerbahçenin Senegalli yıldızı Moussa Sow artık alışılan röveşata gollerine bir yenisi Rizede ekledi BJK  Başakşehir 11 ÖZET İşte Beşiktaş  Medipol Başakşehir maçının  GS  Bursa 31 ÖZET Spor Toto Süper Ligde zor günler geçiren
73166,20161128,2016-11-28,KPSS sonuçları ne zaman açıklanacak,"5,000+",2016 KPSS ortaöğretim sınav sonuçları açıklanıyor mu ÖSYM,2016 KPSS ortaöğretim sınav sonuçları merakla bekleniyor Milyonlarca memur adayı ÖSYMnin yapacağı açıklamaya kilitlenmiş durumda 20 Kasım tarihinde gerçekleştirilen KPSS ortaöğretim sınav sonuçları için henüz bir gelişme olmadı
73167,20161128,2016-11-28,Konyaspor,"5,000+",Atiker Konyaspor  Osmanlıspor 11,Spor Toto Süper Lig Turgay Şeren Sezonunun 12 hafta kapanış maçında Atiker Konyaspor sahasında Osmanlıspor ile 11 berabere kaldı Bu sonucun ardından ligde 6 sıradaki Atiker Konyaspor 17 puana 8 sıradaki Osmanlıspor da 16 puana yükseldi
73168,20161128,2016-11-28,Meteoroloji,"100,000+",Meteoroloji İstanbul için saat verdi,Meteoroloji Genel Müdürlüğünden yapılan açıklamada Tahminlerimiz doğrultusunda halen İstanbulda etkili olan sağanak yağışlar gece saatlerinden bu saate 1630 TSİ kadar metrekareye 3055 kg yağış bırakmıştır Kuvvetli yağışların yarın Salı sabah
73169,20161128,2016-11-28,Sarp Kuray,"10,000+",Sarp Kuray cezaevinden tahliye oldu Sarp Kuray kimdir,Edirne Yüksek Güvenlikli F Tipi Cezaevinde 16 Haziran örgütünü kurduğu iddiasıyla Anayasal düzeni zorla değiştirmek suçlamasıyla 7 yıl 8 aydır cezaevinde bulunan 71 yaşındaki Sarp Kuray cezasının tamamlanmasının ardından tahliye oldu Ailesi ve
73170,20161128,2016-11-28,Tahir Elçi,"10,000+",Tahir Elçi anıldı,Törene Elçinin eşi Türkan Elçi HDP milletvekilleri Feleknas Uca Meral Danış Beştaş Ahmet Yıldırım İmam Taşçıer CHP Milletvekili Sezgin Tanrıkulu çok sayıda sivil toplum örgütü temsilcisi ve avukatlar katıldı Anma töreni kapsamında Tahir Elçi
