index,dayId,date,name,traffic,newsTitle,newsSnippet
81595,20161128,2016-11-28,Александр Куликов,"10,000+",В Крыму на вертолете разбился актер и продюсер Александр Куликов,В понедельник 28 ноября в Крыму в авиакатастрофе погиб актер и продюсер Александр Куликов Жертвами также стали его помощница Мария Суслова и пилот Все трое находились на борту вертолета марки Robinson По всей видимости пилот не справился с управлением
81596,20161128,2016-11-28,Дженнифер Лоуренс,"2,000+",Дженнифер Лоуренс рассказала как держит себя в форме,Одна из самых востребованных молодых актриса Голливуда Дженнифер Лоуренс в свои 26 лет уже является обладательницей Оскара и трех Золотых глобусов В конце декабря на экраны выйдет новый фильм с участием звезды Голодных игр  космический блокбастер
81597,20161128,2016-11-28,Допит Януковича,"2,000+",Допит Януковича про що говорив експрезидент  Телеканал,У понеділок 28 листопада у Святошинському районному суді міста Києва відбулася друга спроба допитати Віктора Януковича в якості свідка в режимі відеоконференції Сайт 24 провів онлайн допиту експрезидента We apologize Broadcast is
81598,20161128,2016-11-28,Отель Элеон,"5,000+",В честь старта сериала Отель Элеон Metro разобралось в изнанке гостиничного бизнеса,На СТС стартует сериал Отель Элеон  продолжение популярного сериала Кухня правда теперь к полюбившимся героям из ресторана Victor добавятся новые персонажи из отеля Журналист Metro посмотрел пару серий вместе с горничной московского отеля консультантом
81599,20161128,2016-11-28,Рождественский пост,"2,000+",Рождественский пост2016 Что и когда можно есть,Пост начинается 28 ноября по новому стилю и заканчивается 7 января Говение длится 40 дней и потому в церковном уставе он называется еще Четыредесятницей Поскольку заговенье на пост приходится на день памяти святого апостола Филиппа то его еще называют Филипповкой
81600,20161128,2016-11-28,Село на мільйон,"10,000+",Село на мільйон чи змогли б Кошмал Капорін та Войтенко,Сьогодні о 2100 на телеканалі 11 відбудеться премєра комедійного серіалу Село на мільйон Напередодні премєри Анна Кошмал Євген Капорін та Костянтин Войтенко прикрасили обкладинку журналу Телескоп і розповіли чи готові
81601,20161128,2016-11-28,Цум Киев,"2,000+",ЦУМ открылся в тестовом режиме,В понедельник 28 ноября в 1100 столичный ЦУМ начал работу в тестовом режиме Об этом сообщают Украинские новости По словам гендиректора компании ЭСТА Холдинг Максима Громадцова на данный момент универмаг открывается на 50 от проектной мощности
81602,20161128,2016-11-28,Янукович,"10,000+",Янукович доволен своим допросом,Беглый эксгарант Виктор Янукович сказал что он доволен своим сегодняшним допросом по делу об убийстве активистов Майдана 20 февраля 2014 года Об этом он сказал на прессконференции в Ростове после видеодопроса
81603,20161129,2016-11-29,Киев Днем И Ночью 2 Сезон 45 Серия,"2,000+",Сериал Киев днем и ночью 2 сезон 45 серия от 29112016 смотреть онлайн,Смотрите онлайн сериал Киев днем и ночью 2 сезон 45 серия от 29112016 в хорошем качестве на сайте hochuua В последней 45 серии сериала Киев днем и ночью 2 сезон продолжатся приключения героев в столице Украины Какие испытания будут ждать их в этот раз
81604,20161129,2016-11-29,Людмила Браташ,"2,000+",В Сети появилось видео на котором Джигурда насилует крёстную своих детей,Спустя год после смерти крёстной детей Никиты Джигурды Людмилы Браташ в Сети появилось шокирующее видео как оказалось за месяц до того как кума 55летнего актёра которую по его словам убила мафия скончалась от интоксикации она могла быть изнасилована
81605,20161129,2016-11-29,Пацики,"2,000+",Секреты нового сериала Пацики,Телеканал ICTV и студия Квартал95 показал первые серии комедийного сериала Пацики основанного на почти реальной истории из жизни запорожской юмористической команды Продюсер и режиссер Андрей Яковлев говорит что в ситкоме есть правда из жизни юмористической
81606,20161129,2016-11-29,Пробки Киев,"5,000+",Киев остановился в семибалльных пробках,Кроме того серьезные пробки наблюдаются в районе Дарницкой площади где произошло несколько ДТП Заторы образовались и на улице Борщаговской в основном в направлении центра Киева Стоит Индустриальный мост и Чоколовский бульвар Также сложности с движением есть
81607,20161129,2016-11-29,Село на миллион 1 серия,"2,000+",Комедія Село на мільйон на 11 стала найбільш рейтинговим серіалом осені,Село на мільйон  це яскрава весела жива історія з прекрасним акторським ансамблем історія про сільське життя несподівану дружбу і неочікуване кохання Ми дивилися першу серію всією знімальною групою багато сміялися і сподіваємося що цей
81608,20161129,2016-11-29,Театр на Подоле,"5,000+",Кличко Без думки киян театр на Подолі не здадуть в експлуатацію,Без врахування думки фахівців і громадськості щодо зовнішнього вигляду будівлі театр на Подолі не буде зданий в експлуатацію Про це заявив мер Києва Віталій Кличко 29 листопада повідомляє пресслужба політика Архітектурний ансамбль Андріївського
81609,20161129,2016-11-29,Шапекоэнсе,"10,000+",СМИ ПСЖ намерен перечислить Шапекоэнсе 40 миллионов долларов,Radio Gaucha сообщает что ПСЖ проинформировал ФИФА о своем намерении пожертвовать 40 млн долларов Шапекоэнсе На данный момент в больнице находятся 3 футболистов бразильской команды Вратарю Фоллманну ампутировали ногу Сообщается также что у Нето травма
81610,20161130,2016-11-30,30 ноября,"2,000+",Инфографика Карта военных действий в зоне АТО на 30 ноября,Инфографика Карта военных действий в зоне АТО на 30 ноября span classlabel redИнфографикаspan Карта военных Фото прессслужбы полка Азов Прессслужба Минобороны предоставила карту ситуации на востоке Украины по состоянию на 0000 среды 30 ноября
81611,20161130,2016-11-30,Биатлон,"5,000+",Индивидуальная гонка женщины Текстовая трансляция,И напоследок передаю всем привет от капитана мужской сборной Димы Пидручного которому завтра бежать 20ку Перед сном он написал о женской гонке такое Скажу гонка була цікавіша ніж завжди Юля Журавок молодець Не те щоб здивувала але не думав що буде настільки
81612,20161130,2016-11-30,Дидье Маруани,"10,000+",Звездная подстава Дидье Маруани стал жертвой розыгрыша российских пранкеров видео,Поздно вечером 29 ноября московская полиция отпустила задержанного лидера группы Space Дидье Маруани Об этом ТАСС сообщила адвокат Людмила Айвар представляющая интересы другого задержанного  юриста Игоря Трунова который от имени французского музыканта
81613,20161130,2016-11-30,Киевводоканал,"5,000+",В ПАО Киевводоканал заявили что не собираются отключать холодную воду киевлянам,Пока не идет речи об отключении холодной воды Мы просто предупреждаем что для подачи воды потребителям нужны средства и основным источником их поступления является оплата за предоставленные услуги Пока какихто конкретных угроз о том что тогдато мы не сможем
81614,20161130,2016-11-30,Кубок Украины,"2,000+",Кубок Украины анонс где смотреть матчи 14 финала Кубка Украины,Донецкий Шахтер продолжит защиту титула матчем против Полтавы на выезде У подопечных Паулу Фонсеки не должно возникнуть особых проблем в противостоянии с перволиговой командой Вероятнее всего в полтавском поединке у дончан состоится ротация но даже
81615,20161130,2016-11-30,Нити Судьбы 11 Серия,"2,000+",Сериал Нити судьбы смотреть 1314 серию онлайн эфир от 30112016,Вадим поражен тем что Саша работает бокобок с ним Она занимает все его мысли Ваня приходит к Саше на работу с букетом чтобы поздравить с первым рабочим днем Когда он видит проходящего по холлу Вадима его охватывает ревность и подозрения что Саша устроилась
81616,20161130,2016-11-30,Отель Элеон 4 серия,"5,000+",Сериал Отель Элеон 4 серия смотреть онлайн 30 ноября 2016,В спиноффе ситкома канала СТС Кухня все началось с масштабных изменений и обновлений главный повар Виктор Баринов уходит на заслуженный отдых Тем временем Элеонора Андреевна находит свою любовь отмечает развлекательный портал скуки нет только Михаил
