index,dayId,date,name,traffic,newsTitle,newsSnippet
82692,20161129,2016-11-29,Chapecoense,"2,000+",Thật trớ trêu Lịch sử buộc phải nhắc về Chapecoense từ hôm nay,Thethaovanhoavn Khi thủ thành Danilo quỳ xuống giơ tay lên trời đầy xúc động cũng là lúc trận bán kết lượt về giữa Chapecoense và San Lorenzo khép lại tại Arena Conda Đó là một ngày lịch sử với Chapecoense và Danilo người đã tử vong cùng các
82693,20161129,2016-11-29,Cowsep,"5,000+",Bật Chúng ta không thuộc về nhau của Sơn Tùng Thánh Yi,Như chúng tôi đã đưa tin Thánh Yi Cowsep đã khiến fan hâm mộ của mình vô cùng bất ngờ khi ghé thăm máy chủ Liên Minh Huyền Thoại Việt Nam vào chiều nay Với những game thủ yêu thích vị tướng Master Yi chắc hẳn cái tên Cowsep không còn xa lạ
82694,20161129,2016-11-29,Phùng Quang Hải,"10,000+",Đại tá Phùng Quang Hải thôi chức Chủ tịch Tổng công ty 319,Thông tin từ Tổng công ty 319 Bộ Quốc phòng cho biết thực hiện Quyết định của Bộ trưởng Bộ Quốc phòng ngày 24112016 Tổng công ty 319 đã tổ chức Hội nghị bàn giao chức danh Chủ tịch Hội đồng thành viên giữa Đại tá Phùng Quang Hải với Đại tá
82695,20161130,2016-11-30,Ta Ogilvy,"10,000+",TA Ogilvy đứng sau tài trợ khảo sát nước mắm tai tiếng của,Dân trí Người phát ngôn Chính phủ chỉ ra rằng khảo sát nước mắm do Vinastas thực hiện dưới sự tài trợ của Công ty TNHH Liên doanh TA Ogilvy Tuy nhiên thông tin từ buổi họp báo không tiết lộ về việc có hay không doanh nghiệp nào đứng đằng sau
82696,20161201,2016-12-01,Danh Bai,"2,000+",BẢN TIN thể thao Indonesia nhận thưởng khủng nếu đánh bại ĐT,LĐBĐ Indonesia treo thưởng khủng để đánh bại ĐT Việt Nam Theo tờ Bola Indonesia Chủ tịch LĐBĐ Indonesia đã chuẩn bị sẵn một khoản tiền lớn để thưởng cho thầy trò HLV Alfred Rield nếu vượt qua được Việt Nam Chủ tịch PSSI nói rằng tiền thưởng
82697,20161201,2016-12-01,Gear Fit 2,"2,000+",Gear Fit 2 bất ngờ được giảm giá 50 còn 199 triệu chỉ bán trong,Gear Fit 2 là chiếc vòng tay sức khỏe mới nhất đến từ Samsung Được lần đầu ra mắt tại thị trường Việt Nam vào tháng 8 với giá 399 triệu đồng sau ba tháng model này sẽ được giảm giá 50 chỉ còn 199 triệu từ ngày mai Đây là một mức giảm được coi là
82698,20161201,2016-12-01,Hương Giang Idol,"2,000+",Thêm Hương Giang Idol tiếp nối Sơn Tùng rồi bạn phải công nhận,Khởi đầu từ anh chàng Sơn Tùng MTP với thời trang quái tính không thể nhầm lẫn giờ đây quần què dường như đang trở thành một xu hướng thời trang có thật ở Việt Nam Sau anh chàng là Hương Giang Idol và Min đều ứng dụng mốt một mất một còn
82699,20161201,2016-12-01,MAMA,"2,000+",Noo Phước Thịnh là nghệ sĩ Việt duy nhất tại giải MAMA 2016,Trưa 112 Noo Phước Thịnh thông báo với khán giả qua đoạn livestream được ghi hình tại Hồng Kông về việc anh sẽ xuất hiện trên thảm đỏ giải thưởng âm nhạc MAMA Mnet Asian Music Awards năm nay Anh cho biết mình cảm thấy rất hào hứng và vinh
82700,20161201,2016-12-01,MAMA 2016,"10,000+",Twice IOI đọ nhan sắc khi lên đường dự MAMA 2016,Những nhóm nhạc hàng đầu Kpop đã lên đường sang Hồng Kông dự sự kiện đình đám trong năm twiceioidonhansackhilenduong Sáng ngày 112 nhiều nhóm nhạc Kpop lên đường sang Hồng Kông chuẩn bị cho lễ trao giải MAMA 2016 Tzuyu xuất
82701,20161201,2016-12-01,Online Friday 2016,"20,000+",Khai trương chuỗi sự kiện Ngày mua sắm trực tuyến Online Friday,Đại diện UBND Thành phố Hà Nội và các bộ ngành hiệp hội doanh nghiệp thực hiện nghi thức khai mạc chuỗi sự kiện hưởng ứng Ngày hội mua sắm trực tuyến Online Friday 2016 Ảnh Hoàng Hùng  TTXVN Tối 112 lãnh đạo Bộ Công thương
82702,20161201,2016-12-01,Quang Lý,"20,000+",Vợ NSƯT Quang Lý Gia đình chưa có cảm giác mất ông,Bà Nguyệt vợ của Nghệ sĩ Quang Lý rưng rưng không nói nên lời Ông ấy đi tập thể dục về bảo với tôi là chóng mặt tức ngực quá Một lúc sau thì bảo là đau dạ dày tôi bèn bảo để tôi đi pha cho ông ly sữa nóng uống cho ấm bụng Mà chưa kịp uống thì ông
82703,20161201,2016-12-01,Tháng 12,"10,000+",Tháng 12 trống trải vì Bức Tường vắng thủ lĩnh Trần Lập,Chúng tôi có rất nhiều kỷ niệm với nhau trong tháng 12 Thế nhưng năm nay tháng 12 thật trống trải những dự định mong muốn thì còn nguyên đó nhưng thủ lĩnh Trần Lập thì không còn cùng anh em thực hiện những dự định ấy nữa  nam nghệ sĩ ngậm
82704,20161201,2016-12-01,Victoria Secret 2016,"5,000+",HOT Tất cả hình ảnh nóng bỏng tay của Victorias Secret Fashion,Victorias Secret Fashion Show 2016 show diễn nội y đình đám nhất năm đã chính thức được khai hỏa tại Grand Palais Paris vào tối 3011 giờ địa phương Đây là kỳ thứ 21 của VSFS và cũng là lần đầu tiên show diễn được tổ chức tại thủ đô nước Pháp
82705,20161201,2016-12-01,Xo So Dien Toan 3011,"2,000+",Nhiều người miền Tây ngưng bán dạo vé số tự chọn,Giữa tháng 10 chị Đào bán thịt heo ở TP Trà Vinh là người đầu tiên trúng xổ số điện toán với số tiền 92 tỉ đồng Tổng tiền chị được lãnh sau khi trừ thuế là gần 83 tỉ đồng Ngày 3011 ở chợ Sâm Bua xã Lương Hòa Châu Thành Trà Vinh sạp bán thịt
82706,20161202,2016-12-02,Bella Hadid,"2,000+",Bella Hadid hở hết cỡ trên thảm đỏ,NLĐO  Siêu mẫu Bella Hadid diện đầm xuyên thấu khoe nội y trên thảm đỏ tiệc mừng thành công của sô diễn thường niên Victorias Secret fashion ở Paris  Pháp Thiên thần Victorias Secret rạng ngời trên sân khấu  Ngắm đôi áo lót giá 4 triệu USD
82707,20161202,2016-12-02,Irina Shayk,"2,000+",Irina Shayk mang bầu vẫn siêu gợi cảm diễn nội y,Đáng ngạc nhiên hơn nữa là trước thềm show diễn trang ENew tiết lộ Irina Shayk đang mang thai con đầu lòng với nam tài tử người Anh Bradley Cooper Irina Shayk và Bradley hẹn hò từ năm 2015 và họ đều chưa từng lập gia đình Nam diễn viên 41 tuổi
82708,20161202,2016-12-02,Nong Nat,"5,000+",Thánh nữ phim nóng lo mây mưa quá đà chồng đột tử,Cô từng là một diễn viên phim cấp 3 nổi tiếng của Thái Lan với nghệ danh Nông Nat Khi còn hành nghề vào năm 2000 Kejsarin từng khuấy động dư luận Thái Lan vì thước phim nóng bỏng của mình Tuy nhiên vì muốn có được một tấm chồng như ý và
